Fname,Lname,Position,team,GP,G,A,P,PPG,PIM,Success,season,Standing
Tomi,Ojala,1,TPS U16,11,2,4,6,0.55,6,0,2007-2008,5.0
Santeri,Kallio,1,TPS U16,13,2,4,6,0.46,4,0,2007-2008,5.0
Ville,Halonen,1,TPS U16,13,2,4,6,0.46,16,0,2007-2008,5.0
Mika,Pihlaniemi,1,Blues U16,13,4,1,5,0.39,6,0,2007-2008,1.0
Juho,Heiskari,1,Kärpät U16,12,3,2,5,0.42,8,0,2007-2008,4.0
Roope,Matilainen,0,Blues U16,12,3,2,5,0.42,54,0,2007-2008,1.0
Artturi,Karjalainen,0,Kärpät U16,13,3,2,5,0.39,8,0,2007-2008,4.0
Aleksi,Laine,0,Jokerit U16,10,1,4,5,0.50,12,0,2007-2008,2.0
Juho,Lindgren,1,Kärpät U16,12,3,1,4,0.33,4,0,2007-2008,4.0
Marcus,Nikander,0,Blues U16,3,2,2,4,1.33,4,0,2007-2008,1.0
Ekue,Tomety,0,Kärpät U16,9,2,2,4,0.44,46,0,2007-2008,4.0
Jussi,Jalonen,0,Blues U16,12,2,2,4,0.33,2,0,2007-2008,1.0
Samu,Paukkonen,1,Jokerit U16,13,1,3,4,0.31,12,0,2007-2008,2.0
Niko,Järvinen,0,TPS U16,9,0,4,4,0.44,14,0,2007-2008,5.0
Niilo,Laulajainen,0,TPS U16,12,0,4,4,0.33,28,0,2007-2008,5.0
Antti,Lehtosaari,1,Blues U16,6,2,1,3,0.50,4,0,2007-2008,1.0
Kustaa,Siikarla,1,TPS U16,8,2,1,3,0.38,0,0,2007-2008,5.0
Jussi,Koski,1,Kärpät U16,13,2,1,3,0.23,8,0,2007-2008,4.0
Jan,Blomqvist,1,Blues U16,11,1,2,3,0.27,22,0,2007-2008,1.0
Roni,Hakala,1,Blues U16,12,1,2,3,0.25,8,0,2007-2008,1.0
Aleksi,Vornanen,0,Blues U16,13,1,2,3,0.23,6,0,2007-2008,1.0
Olli,Jansson,0,Kärpät U16,13,1,2,3,0.23,8,0,2007-2008,4.0
Joona,Sellman,0,Blues U16,13,1,2,3,0.23,12,0,2007-2008,1.0
Simo,Pasonen,0,TPS U16,10,0,3,3,0.30,14,0,2007-2008,5.0
Valtteri,Rissanen,1,Blues U16,7,1,1,2,0.29,8,0,2007-2008,1.0
Ville,Perttilä,0,Jokerit U16,13,1,1,2,0.15,2,0,2007-2008,2.0
Oliver,Cierny,1,Blues U16,13,1,1,2,0.15,4,0,2007-2008,1.0
Mikko,Määttä,0,Kärpät U16,4,0,2,2,0.50,12,0,2007-2008,4.0
Lasse,Malinen,1,Blues U16,9,0,2,2,0.22,2,0,2007-2008,1.0
Roope,Niemi,0,Jokerit U16,12,0,2,2,0.17,0,0,2007-2008,2.0
Kasimir,Skoglund,0,TPS U16,12,1,0,1,0.08,8,0,2007-2008,5.0
Jere,Tihinen,0,Kärpät U16,4,0,1,1,0.25,33,0,2007-2008,4.0
Niki,Korhonen,0,Jokerit U16,11,0,1,1,0.09,2,0,2007-2008,2.0
Samu-Santeri,Huhto,0,TPS U16,11,0,1,1,0.09,4,0,2007-2008,5.0
Johannes,Takala,0,Blues U16,0,0,0,0,0.00,0,0,2007-2008,1.0
Teemu,Tuloisela,0,Blues U16,0,0,0,0,0.00,0,0,2007-2008,1.0
Jukka,Honkanen,1,Jokerit U16,0,0,0,0,0.00,0,0,2007-2008,2.0
Ville-Veikko,Haajanen,1,Kärpät U16,0,0,0,0,0.00,0,0,2007-2008,4.0
Aleksi,Hiden,0,TPS U16,0,0,0,0,0.00,0,0,2007-2008,5.0
Juuso,Sipola,1,Kärpät U16,1,0,0,0,0.00,0,0,2007-2008,4.0
Niklas,Mäki,1,TPS U16,3,0,0,0,0.00,2,0,2007-2008,5.0
Matias,Hirvonen,1,Jokerit U16,4,0,0,0,0.00,4,0,2007-2008,2.0
Mikko,Puolakka,0,Kärpät U16,9,0,0,0,0.00,8,0,2007-2008,4.0
Sebastian,Söderlund,0,Blues U16,11,0,0,0,0.00,2,0,2007-2008,1.0
Antti,Olsbo,1,Kärpät U16,12,0,0,0,0.00,47,0,2007-2008,4.0
Tommi,Kujanpää,0,Blues U16,13,0,0,0,0.00,4,0,2007-2008,1.0
Krister,Mähönen,1,TPS U16,13,12,11,23,1.77,10,1,2007-2008,5.0
Santtu,Huhtala,1,TPS U16,13,8,13,21,1.62,2,1,2007-2008,5.0
Patrik,Moisio,1,TPS U16,13,10,5,15,1.15,22,1,2007-2008,5.0
Paulus,Rundgren,1,TPS U16,13,7,8,15,1.15,10,1,2007-2008,5.0
Sakari,Manninen,1,Kärpät U16,11,4,7,11,1.00,2,1,2007-2008,4.0
Miro,Hovinen,0,Jokerit U16,13,1,6,7,0.54,14,1,2007-2008,2.0
Mika,Koivisto,1,Kärpät U16,12,3,2,5,0.42,12,1,2007-2008,4.0
Mikael,Granlund,1,Kärpät U16,1,1,2,3,3.00,0,1,2007-2008,4.0
Joonas,Donskoi,1,Kärpät U16,1,2,0,2,2.00,0,1,2007-2008,4.0
Joonas,Valkonen,0,Jokerit U16,12,0,2,2,0.17,2,1,2007-2008,2.0
Joonas,Larinmaa,1,TPS U16,0,0,0,0,0.00,0,1,2007-2008,5.0
Matti,Lamberg,1,Kärpät U16,0,0,0,0,0.00,0,1,2007-2008,4.0
Teemu,Pulkkinen,1,Jokerit U16,0,0,0,0,0.00,0,1,2007-2008,2.0
Teemu,Henritius,1,Jokerit U16,0,0,0,0,0.00,0,1,2007-2008,2.0
Niko,Väätäinen,1,Jokerit U16,25,22,30,52,2.08,8,0,2008-2009,2.0
Samu,Öystilä,0,Blues U16,17,8,10,18,1.06,10,0,2008-2009,1.0
Kalle,Kossila,1,Jokerit U16,26,6,12,18,0.69,4,0,2008-2009,2.0
Tommi,Finnilä,0,Jokerit U16,16,6,11,17,1.06,6,0,2008-2009,2.0
Jiri-Waltteri,Vallenius,1,Jokerit U16,22,6,8,14,0.64,14,0,2008-2009,2.0
Olli,Viita,1,Blues U16,25,5,6,11,0.44,6,0,2008-2009,1.0
Tuomas,Suominen,0,Blues U16,26,6,3,9,0.35,46,0,2008-2009,1.0
Mikko,Piisinen,0,Jokerit U16,18,3,6,9,0.50,10,0,2008-2009,2.0
Miro,Matveinen,0,Jokerit U16,26,3,6,9,0.35,28,0,2008-2009,2.0
Samu,Ehari,1,Blues U16,21,2,7,9,0.43,10,0,2008-2009,1.0
Rasmus,Klärck,1,Blues U16,25,2,7,9,0.36,36,0,2008-2009,1.0
Nicolas,Wuolle,1,Blues U16,25,6,2,8,0.32,18,0,2008-2009,1.0
Aleksi,Mustaniemi,0,Blues U16,18,3,5,8,0.44,6,0,2008-2009,1.0
Niko,Skonbäck,0,Jokerit U16,26,1,7,8,0.31,34,0,2008-2009,2.0
Axel,Holmström,1,Blues U16,21,5,2,7,0.33,52,0,2008-2009,1.0
