Fname,Lname,Position,team,GP,G,A,P,PPG,PIM,Success,season,Standing
Oskari,Ojanen,1,Tappara U16,15,4,8,12,0.80,6,0,2010-2011,1.0
Petteri,Laakso,0,Jokerit U16,27,0,12,12,0.44,26,0,2010-2011,3.0
Tuomas,Lehtonen,0,Lukko U16,27,6,5,11,0.41,14,0,2010-2011,13.0
Jerry,Koskela,1,Ässät U16,27,6,5,11,0.41,20,0,2010-2011,6.0
Jarko,Joska,1,JYP U16,23,5,6,11,0.48,12,0,2010-2011,7.0
Juuso,Hattunen,1,KalPa U16,23,5,6,11,0.48,16,0,2010-2011,11.0
Miska,Auria,1,HIFK U16,19,4,7,11,0.58,110,0,2010-2011,10.0
Teo,Schukov,0,Jokerit U16,22,4,7,11,0.50,8,0,2010-2011,3.0
Iikka,Piiroinen,1,KalPa U16,27,4,7,11,0.41,2,0,2010-2011,11.0
Jerry,Miettunen,0,Blues U16,20,3,8,11,0.55,22,0,2010-2011,2.0
Vili,Kämäräinen,0,Blues U16,24,3,8,11,0.46,35,0,2010-2011,2.0
Erik,Linnemäki,0,TPS U16,26,3,8,11,0.42,16,0,2010-2011,5.0
Petteri,Veiksola,1,HIFK U16,22,2,9,11,0.50,16,0,2010-2011,10.0
Kevin,Kallonen,0,TPS U16,23,1,10,11,0.48,26,0,2010-2011,5.0
Niko,Kosonen,0,Ketterä U16,25,0,11,11,0.44,16,0,2010-2011,14.0
Roope,Kuhakoski,1,HIFK U16,23,7,3,10,0.44,42,0,2010-2011,10.0
Saku,Tervonen,1,Kärpät U16,19,6,4,10,0.53,18,0,2010-2011,4.0
Joni,Koivunen,1,Jokerit U16,21,6,4,10,0.48,37,0,2010-2011,3.0
Jerri,Mattila,1,TPS U16,25,6,4,10,0.40,6,0,2010-2011,5.0
Patrik,Forsberg,0,JYP U16,20,5,5,10,0.50,20,0,2010-2011,7.0
Tony,Paasonen,1,HIFK U16,22,5,5,10,0.46,16,0,2010-2011,10.0
Joni,Peränen,0,JYP U16,26,5,5,10,0.39,36,0,2010-2011,7.0
Anselmi,Nikkilä,1,Ilves U16,17,4,6,10,0.59,16,0,2010-2011,9.0
Jere,Astrén,0,HIFK U16,24,3,7,10,0.42,26,0,2010-2011,10.0
Juho,Suominen,1,Lukko U16,24,3,7,10,0.42,36,0,2010-2011,13.0
Jesse,Lahnaviik,0,Ässät U16,27,3,7,10,0.37,6,0,2010-2011,6.0
Juho-Perttu,Kyllönen,0,Kärpät U16,14,1,9,10,0.71,28,0,2010-2011,4.0
Jesse,Dahlman,1,Tappara U16,24,6,3,9,0.38,10,0,2010-2011,1.0
Roope,Repo,0,Tappara U16,27,6,3,9,0.33,10,0,2010-2011,1.0
Jesse,Ouni,1,Tappara U16,21,5,4,9,0.43,2,0,2010-2011,1.0
Santeri,Skofelt,1,Pelicans U16,25,4,5,9,0.36,4,0,2010-2011,12.0
Eemeli,Manskinen,1,Ketterä U16,25,3,6,9,0.36,24,0,2010-2011,14.0
Valtteri,Sjöblom,1,Lukko U16,27,3,6,9,0.33,24,0,2010-2011,13.0
Joni,Törrö,0,Ilves U16,19,2,7,9,0.47,83,0,2010-2011,9.0
Matias,Juutinen,0,HIFK U16,26,2,7,9,0.35,34,0,2010-2011,10.0
Niki,Metsävainio,0,Kärpät U16,20,1,8,9,0.45,20,0,2010-2011,4.0
Einari,Juutinen,0,Blues U16,23,1,8,9,0.39,20,0,2010-2011,2.0
Joel,Ylä-Mononen,0,Jokerit U16,24,1,8,9,0.38,8,0,2010-2011,3.0
Jere,Karlsson,0,TPS U16,26,1,8,9,0.35,4,0,2010-2011,5.0
Ville,Saloranta,1,Ilves U16,26,1,8,9,0.35,10,0,2010-2011,9.0
Miro,Tuominen,1,Pelicans U16,26,1,8,9,0.35,22,0,2010-2011,12.0
Atte,Kyyrönen,0,Pelicans U16,25,0,9,9,0.36,16,0,2010-2011,12.0
Miika,Kuortti,1,Tappara U16,18,5,3,8,0.44,2,0,2010-2011,1.0
Jari,Leppänen,0,Ilves U16,22,5,3,8,0.36,64,0,2010-2011,9.0
Mikael,Vihriälä,1,Tappara U16,12,4,4,8,0.67,14,0,2010-2011,1.0
Niko,Keränen,1,Kärpät U16,18,4,4,8,0.44,6,0,2010-2011,4.0
Jimi,Ronkainen,1,HIFK U16,23,4,4,8,0.35,24,0,2010-2011,10.0
Tuomas,Voipio,0,Ässät U16,26,4,4,8,0.31,4,0,2010-2011,6.0
Lauri,Huhdanpää,1,Tappara U16,10,3,5,8,0.80,6,0,2010-2011,1.0
Valtteri,Väkiparta,1,Lukko U16,19,3,5,8,0.42,8,0,2010-2011,13.0
Anton,Vidgren,0,TPS U16,24,2,6,8,0.33,41,0,2010-2011,5.0
Pekka,Sipari,0,Ketterä U16,18,1,7,8,0.44,52,0,2010-2011,14.0
Mika,Ilvonen,0,Blues U16,10,0,8,8,0.80,6,0,2010-2011,2.0
Robin,Ullberg,0,Jokerit U16,27,0,8,8,0.30,10,0,2010-2011,3.0
Mikael,Järvinen,1,Tappara U16,25,3,4,7,0.28,10,0,2010-2011,1.0
Aleksi,Nurminen,1,Ässät U16,26,3,4,7,0.27,6,0,2010-2011,6.0
Jeremias,Rannisto,0,HIFK U16,22,2,5,7,0.32,40,0,2010-2011,10.0
Antti,Mäkelä,0,Ilves U16,23,2,5,7,0.30,20,0,2010-2011,9.0
Reima,Raitanen,1,Lukko U16,25,2,5,7,0.28,8,0,2010-2011,13.0
Roni,Hyyryläinen,1,Blues U16,25,2,5,7,0.28,32,0,2010-2011,2.0
Roope,Rohamo,0,HPK U16,11,1,6,7,0.64,39,0,2010-2011,8.0
Miikka,Kujanpää,0,Blues U16,20,1,6,7,0.35,10,0,2010-2011,2.0
Samuel,Argillander,1,Blues U16,20,4,2,6,0.30,16,0,2010-2011,2.0
Aleksi,Saarinen,0,Lukko U16,22,3,3,6,0.27,18,0,2010-2011,13.0
Aleksi,Valla,1,Lukko U16,23,2,4,6,0.26,4,0,2010-2011,13.0
Joonas,Pyrhönen,1,Kärpät U16,23,2,4,6,0.26,6,0,2010-2011,4.0
Justus,Malinen,0,KalPa U16,24,2,4,6,0.25,24,0,2010-2011,11.0
Sakari,Dahlgren,1,HPK U16,27,2,4,6,0.22,16,0,2010-2011,8.0
Jyri,Laihanen,0,Ketterä U16,15,1,5,6,0.40,18,0,2010-2011,14.0
Tommi,Silvast,1,Pelicans U16,22,1,5,6,0.27,10,0,2010-2011,12.0
Elmeri,Lehtelä,1,JYP U16,27,1,5,6,0.22,14,0,2010-2011,7.0
Ville,Ahonen,1,Pelicans U16,26,4,1,5,0.19,10,0,2010-2011,12.0
Jere,Mäkitalo,1,Kärpät U16,16,3,2,5,0.31,10,0,2010-2011,4.0
Tuomas,Nummela,0,Pelicans U16,23,3,2,5,0.22,18,0,2010-2011,12.0
Eetu,Tuohimetsä,1,Blues U16,14,2,3,5,0.36,43,0,2010-2011,2.0
Nico,Siitonen,0,Pelicans U16,20,2,3,5,0.25,53,0,2010-2011,12.0
James,Lax,0,HIFK U16,23,2,3,5,0.22,59,0,2010-2011,10.0
Joni,Kotilainen,0,Ketterä U16,19,1,4,5,0.26,14,0,2010-2011,14.0
Ilari,Peltomäki,0,Tappara U16,21,1,4,5,0.24,2,0,2010-2011,1.0
Otto,Rantanen,1,HPK U16,22,3,1,4,0.18,4,0,2010-2011,8.0
Rami,Äikäs,0,TPS U16,10,2,2,4,0.40,0,0,2010-2011,5.0
Toni-Petteri,Tulonen,0,Pelicans U16,20,2,2,4,0.20,0,0,2010-2011,12.0
Roope,Varjonen,1,Lukko U16,21,2,2,4,0.19,8,0,2010-2011,13.0
Roni,Järvi,1,Blues U16,25,2,2,4,0.16,14,0,2010-2011,2.0
Sauli,Kytölä,1,JYP U16,16,1,3,4,0.25,2,0,2010-2011,7.0
Jesse,Sjölund,0,Lukko U16,17,1,3,4,0.24,4,0,2010-2011,13.0
Mikko,Kivistö,0,Ässät U16,19,1,3,4,0.21,37,0,2010-2011,6.0
Markus,Ovaska,0,Ketterä U16,20,1,3,4,0.20,6,0,2010-2011,14.0
Oskari,Impola,1,Lukko U16,20,1,3,4,0.20,98,0,2010-2011,13.0
Ville,Turunen,1,KalPa U16,23,1,3,4,0.17,8,0,2010-2011,11.0
Jere,Jauhiainen,0,TPS U16,24,1,3,4,0.17,4,0,2010-2011,5.0
Juuso,Sainpalo,0,JYP U16,25,1,3,4,0.16,26,0,2010-2011,7.0
Jesse,Koskelo,0,Pelicans U16,26,1,3,4,0.15,47,0,2010-2011,12.0
Aapo,Nurminen,0,HIFK U16,15,0,4,4,0.27,4,0,2010-2011,10.0
Arttu,Rahikkala,0,Kärpät U16,24,0,4,4,0.17,26,0,2010-2011,4.0
Severi,Moisio,0,KalPa U16,25,0,4,4,0.16,34,0,2010-2011,11.0
Kalle,Tervo,0,Blues U16,25,0,4,4,0.16,34,0,2010-2011,2.0
Niki,Maukonen,1,Pelicans U16,11,3,0,3,0.27,0,0,2010-2011,12.0
Arttu,Suhonen,1,Ketterä U16,26,3,0,3,0.12,2,0,2010-2011,14.0
Jari,Kankaanpää,1,Ketterä U16,10,2,1,3,0.30,4,0,2010-2011,14.0
Elmeri,Ylitalo,1,Ässät U16,15,2,1,3,0.20,6,0,2010-2011,6.0
Niko,Virta,1,Ilves U16,17,2,1,3,0.18,2,0,2010-2011,9.0
Santeri,Reijonen,0,Jokerit U16,19,2,1,3,0.16,35,0,2010-2011,3.0
Roope,Juntti,1,Lukko U16,20,2,1,3,0.15,12,0,2010-2011,13.0
Santeri,Ylitalo,1,Lukko U16,22,2,1,3,0.14,2,0,2010-2011,13.0
Niklas,Lehtimäki,1,Ässät U16,3,1,2,3,1.00,6,0,2010-2011,6.0
Eetu,Peiponen,0,KalPa U16,12,1,2,3,0.25,30,0,2010-2011,11.0
Waltteri,Ihamuotila,1,Jokerit U16,15,1,2,3,0.20,6,0,2010-2011,3.0
Jesse,Orenius,0,JYP U16,16,1,2,3,0.19,2,0,2010-2011,7.0
Anton,Relander,0,Blues U16,18,1,2,3,0.17,26,0,2010-2011,2.0
Christian,Nyman,0,HIFK U16,22,1,2,3,0.14,40,0,2010-2011,10.0
Antti,Pulkkinen,1,KalPa U16,24,1,2,3,0.13,6,0,2010-2011,11.0
Onni,Hautamäki,0,KalPa U16,24,1,2,3,0.13,14,0,2010-2011,11.0
Tuomo,Hankaniemi,1,Ketterä U16,15,0,3,3,0.20,4,0,2010-2011,14.0
Joel,Lehtonen,0,HPK U16,17,0,3,3,0.18,2,0,2010-2011,8.0
Henri,Aspholm,0,Ilves U16,18,0,3,3,0.17,4,0,2010-2011,9.0
Tomi,Anttonen,0,Ketterä U16,20,0,3,3,0.15,16,0,2010-2011,14.0
Samu,Valtonen,0,Ketterä U16,20,0,3,3,0.15,46,0,2010-2011,14.0
Markus,Neva-Aho,0,Ilves U16,22,0,3,3,0.14,8,0,2010-2011,9.0
Tommi,Heiskanen,0,Ässät U16,23,0,3,3,0.13,8,0,2010-2011,6.0
Oskari,Degerlund,1,JYP U16,5,2,0,2,0.40,2,0,2010-2011,7.0
Roope,Särkioja,1,Ketterä U16,10,2,0,2,0.20,12,0,2010-2011,14.0
Ragnar,Russ,1,KalPa U16,14,2,0,2,0.14,8,0,2010-2011,11.0
Joonas,Järvelä,0,Kärpät U16,20,2,0,2,0.10,4,0,2010-2011,4.0
Jesse,Nykänen,1,Ketterä U16,21,2,0,2,0.10,6,0,2010-2011,14.0
Niko,Peltonen,1,Lukko U16,1,1,1,2,2.00,0,0,2010-2011,13.0
Aleksi,Nurmi,1,Ässät U16,8,1,1,2,0.25,16,0,2010-2011,6.0
Jani,Kaitala,1,HPK U16,11,1,1,2,0.18,0,0,2010-2011,8.0
Olli,Muittari,1,JYP U16,12,1,1,2,0.17,0,0,2010-2011,7.0
Otto,Tolvanen,0,KalPa U16,13,1,1,2,0.15,14,0,2010-2011,11.0
Miko,Siren,1,Ilves U16,17,1,1,2,0.12,4,0,2010-2011,9.0
Jaakko,Seeste,1,Blues U16,19,1,1,2,0.11,0,0,2010-2011,2.0
Jere,Tuomaala,1,Kärpät U16,19,1,1,2,0.11,0,0,2010-2011,4.0
Iiro,Elonen,0,Lukko U16,23,1,1,2,0.09,6,0,2010-2011,13.0
Otto,Kuure,0,HIFK U16,2,0,2,2,1.00,0,0,2010-2011,10.0
Akseli,Nykänen,0,TPS U16,4,0,2,2,0.50,0,0,2010-2011,5.0
Juha,Suni,1,Pelicans U16,12,0,2,2,0.17,4,0,2010-2011,12.0
Valtteri,Lemmetty,0,Jokerit U16,12,0,2,2,0.17,33,0,2010-2011,3.0
Jaakko,Holopainen,0,Jokerit U16,13,0,2,2,0.15,0,0,2010-2011,3.0
Jesse,Kotilahti,0,Ilves U16,13,0,2,2,0.15,12,0,2010-2011,9.0
Petrus,Pietiläinen,0,Ketterä U16,15,0,2,2,0.13,6,0,2010-2011,14.0
Aleksi,Sillanpää,1,HPK U16,16,0,2,2,0.13,4,0,2010-2011,8.0
Oskari,Tarvainen,0,Ilves U16,19,0,2,2,0.11,4,0,2010-2011,9.0
Miko,Yli-Hallila,0,Ilves U16,22,0,2,2,0.09,20,0,2010-2011,9.0
Saska,Putkonen,0,Ketterä U16,24,0,2,2,0.08,12,0,2010-2011,14.0
Topi,Kaarela,0,HPK U16,26,0,2,2,0.08,28,0,2010-2011,8.0
Aksel,Mathisen,0,HIFK U16,1,1,0,1,1.00,4,0,2010-2011,10.0
Rene,Huhtala,0,Ilves U16,2,1,0,1,0.50,4,0,2010-2011,9.0
Lassi,Hakanen,1,Ilves U16,6,1,0,1,0.17,0,0,2010-2011,9.0
Jesse,Rannus,0,Lukko U16,9,1,0,1,0.11,4,0,2010-2011,13.0
Ville,Keskinen,0,Kärpät U16,12,1,0,1,0.08,6,0,2010-2011,4.0
Jimi,Saukkonen,1,HPK U16,13,1,0,1,0.08,0,0,2010-2011,8.0
Tommi,Ilmonen,1,Tappara U16,13,1,0,1,0.08,2,0,2010-2011,1.0
Niklas,Puustinen,1,Pelicans U16,18,1,0,1,0.06,20,0,2010-2011,12.0
Janne,Tapani,1,Lukko U16,23,1,0,1,0.04,6,0,2010-2011,13.0
Saku,Petriläinen,1,Ketterä U16,24,1,0,1,0.04,20,0,2010-2011,14.0
Joni,Pesonen,0,KalPa U16,24,1,0,1,0.04,22,0,2010-2011,11.0
Jimi,Kuronen,0,HIFK U16,1,0,1,1,1.00,2,0,2010-2011,10.0
Henrik,Vesalainen,0,HIFK U16,3,0,1,1,0.33,0,0,2010-2011,10.0
Konsta,Härkönen,1,Kärpät U16,3,0,1,1,0.33,2,0,2010-2011,4.0
Mika,Huhtasalo,1,Ässät U16,4,0,1,1,0.25,0,0,2010-2011,6.0
Perttu,Poutiainen,0,JYP U16,4,0,1,1,0.25,4,0,2010-2011,7.0
Eero,Hämäläinen,1,Ilves U16,5,0,1,1,0.20,0,0,2010-2011,9.0
Juuso,Asikainen,0,Ketterä U16,7,0,1,1,0.14,8,0,2010-2011,14.0
Ville-Veikko,Ahonen,0,Ilves U16,8,0,1,1,0.13,2,0,2010-2011,9.0
Jesse,Nenonen,0,Kärpät U16,12,0,1,1,0.08,0,0,2010-2011,4.0
Jere-Petteri,Löytökorpi,0,Lukko U16,13,0,1,1,0.08,8,0,2010-2011,13.0
Viljami,Hämäläinen,0,TPS U16,14,0,1,1,0.07,39,0,2010-2011,5.0
Lassi,Laakkonen,0,Tappara U16,17,0,1,1,0.06,10,0,2010-2011,1.0
Kimi,Räsänen,1,HPK U16,25,0,1,1,0.04,20,0,2010-2011,8.0
Jani,Heikkilä,1,KalPa U16,27,0,1,1,0.04,6,0,2010-2011,11.0
Jere,Viitasalo,1,Kärpät U16,0,0,0,0,0.00,0,0,2010-2011,4.0
Eelis,Tammenoja,1,JYP U16,0,0,0,0,0.00,0,0,2010-2011,7.0
Antti,Koskimies,0,HIFK U16,0,0,0,0,0.00,0,0,2010-2011,10.0
Jani,Pettinen,1,Ketterä U16,1,0,0,0,0.00,0,0,2010-2011,14.0
Jeri,Hömppi,0,Ketterä U16,1,0,0,0,0.00,0,0,2010-2011,14.0
Samuel,Fagerlund,0,Pelicans U16,1,0,0,0,0.00,0,0,2010-2011,12.0
Samu-Petteri,Paananen,1,JYP U16,1,0,0,0,0.00,0,0,2010-2011,7.0
Vilho,Suviranta,1,Ketterä U16,1,0,0,0,0.00,0,0,2010-2011,14.0
Roope,Tuupanen,0,HIFK U16,1,0,0,0,0.00,0,0,2010-2011,10.0
Jesse,Katajisto,1,TPS U16,1,0,0,0,0.00,0,0,2010-2011,5.0
Matias,Friman,1,TPS U16,1,0,0,0,0.00,0,0,2010-2011,5.0
Julius,Marva,0,Lukko U16,1,0,0,0,0.00,0,0,2010-2011,13.0
Arttu,Lamberg,1,Ässät U16,1,0,0,0,0.00,2,0,2010-2011,6.0
Matti,Okker,0,Pelicans U16,2,0,0,0,0.00,0,0,2010-2011,12.0
Antti,Suokas,0,Pelicans U16,2,0,0,0,0.00,0,0,2010-2011,12.0
Petri,Putkonen,1,KalPa U16,2,0,0,0,0.00,0,0,2010-2011,11.0
Mikael,Honkala,1,HPK U16,2,0,0,0,0.00,0,0,2010-2011,8.0
Markus,Heikkinen,1,Blues U16,2,0,0,0,0.00,0,0,2010-2011,2.0
Antti,Kauppinen,1,HIFK U16,2,0,0,0,0.00,0,0,2010-2011,10.0
Atte,Niskanen,0,HPK U16,2,0,0,0,0.00,2,0,2010-2011,8.0
Sami,Nordlund,1,Ketterä U16,2,0,0,0,0.00,27,0,2010-2011,14.0
Mikko,Koskinen,1,Pelicans U16,3,0,0,0,0.00,0,0,2010-2011,12.0
Herman,Pyrhönen,1,Pelicans U16,3,0,0,0,0.00,0,0,2010-2011,12.0
Tuukka,Lahtinen,0,Pelicans U16,4,0,0,0,0.00,4,0,2010-2011,12.0
Veeti,Uuttera,1,HPK U16,5,0,0,0,0.00,4,0,2010-2011,8.0
Jasse,Kohonen,1,Ketterä U16,6,0,0,0,0.00,0,0,2010-2011,14.0
Ossi,Häyrinen,1,KalPa U16,6,0,0,0,0.00,4,0,2010-2011,11.0
Samuli,Aheristo,0,Jokerit U16,8,0,0,0,0.00,2,0,2010-2011,3.0
Joel,Vainikka,1,Pelicans U16,14,0,0,0,0.00,4,0,2010-2011,12.0
Jalmari,Meriluoto,0,Lukko U16,14,0,0,0,0.00,14,0,2010-2011,13.0
Antti,Ryhänen,1,JYP U16,15,0,0,0,0.00,0,0,2010-2011,7.0
Ville,Nokkonen,0,Pelicans U16,17,0,0,0,0.00,6,0,2010-2011,12.0
Juho,Isotupa,0,Lukko U16,21,0,0,0,0.00,4,0,2010-2011,13.0
Oskari,Siiki,1,TPS U16,26,28,24,52,2.00,14,1,2010-2011,5.0
Felix,Westermarck,1,Blues U16,26,27,25,52,2.00,6,1,2010-2011,2.0
Niko,Ojamäki,1,Ässät U16,27,27,22,49,1.82,10,1,2010-2011,6.0
Sami,Pekkala,1,Kärpät U16,27,30,15,45,1.67,12,1,2010-2011,4.0
Kasperi,Nuto,1,Ässät U16,19,16,25,41,2.16,8,1,2010-2011,6.0
Santeri,Vuoti,1,HPK U16,26,20,20,40,1.54,10,1,2010-2011,8.0
Teemu,Pulkkinen,1,Blues U16,25,22,15,37,1.48,8,1,2010-2011,2.0
Panu,Mieho,1,HIFK U16,25,14,22,36,1.44,14,1,2010-2011,10.0
Jere,Helenius,1,Ilves U16,25,20,15,35,1.40,20,1,2010-2011,9.0
Eetu,Koivistoinen,1,Blues U16,12,17,17,34,2.83,16,1,2010-2011,2.0
Teemu,Turunen,1,Jokerit U16,23,17,17,34,1.48,2,1,2010-2011,3.0
Waltteri,Hopponen,1,Blues U16,27,9,25,34,1.26,12,1,2010-2011,2.0
Miikka,Pitkänen,1,KalPa U16,26,12,19,31,1.19,22,1,2010-2011,11.0
Miro,Mäkinen,1,Jokerit U16,27,12,19,31,1.15,22,1,2010-2011,3.0
Juho,Liuksiala,1,Ilves U16,23,15,14,29,1.26,2,1,2010-2011,9.0
Otto,Rauhala,1,Tappara U16,25,8,19,27,1.08,4,1,2010-2011,1.0
Petteri,Haveri,0,JYP U16,27,14,12,26,0.96,2,1,2010-2011,7.0
Matias,Pulli,0,TPS U16,14,6,20,26,1.86,8,1,2010-2011,5.0
Julius,Harttunen,1,Ässät U16,25,16,9,25,1.00,45,1,2010-2011,6.0
Niko,Ahoniemi,1,Tappara U16,25,11,14,25,1.00,50,1,2010-2011,1.0
Julius,Nättinen,1,JYP U16,24,11,13,24,1.00,8,1,2010-2011,7.0
Kalle,Valtola,0,TPS U16,26,11,13,24,0.92,4,1,2010-2011,5.0
Julius,Valtonen,1,Jokerit U16,22,11,12,23,1.05,6,1,2010-2011,3.0
Kasperi,Kapanen,1,KalPa U16,26,14,8,22,0.85,10,1,2010-2011,11.0
Niko,Kivelä,1,HIFK U16,18,9,12,21,1.17,36,1,2010-2011,10.0
Otto,Nieminen,1,TPS U16,19,12,8,20,1.05,0,1,2010-2011,5.0
Hannes,Björninen,1,Pelicans U16,25,9,11,20,0.80,18,1,2010-2011,12.0
Joel,Kiviranta,1,Jokerit U16,26,10,9,19,0.73,12,1,2010-2011,3.0
Matias,Varttinen,1,Ässät U16,27,10,9,19,0.70,4,1,2010-2011,6.0
Atte,Mäkinen,1,Jokerit U16,24,9,9,18,0.75,6,1,2010-2011,3.0
William,Mäkinen,0,JYP U16,27,5,12,17,0.63,12,1,2010-2011,7.0
Rasmus,Smedberg,1,Lukko U16,21,4,12,16,0.76,22,1,2010-2011,13.0
Timi,Lahtinen,1,Jokerit U16,13,7,8,15,1.15,20,1,2010-2011,3.0
Tommi,Tikka,1,Blues U16,19,7,8,15,0.79,47,1,2010-2011,2.0
Henry,Karjalainen,1,Ketterä U16,24,7,8,15,0.63,76,1,2010-2011,14.0
Teemu,Vuorisalo,0,Ässät U16,17,5,10,15,0.88,14,1,2010-2011,6.0
Ville,Heponiemi,1,Ilves U16,24,4,11,15,0.63,4,1,2010-2011,9.0
Aleksi,Laine,0,Ässät U16,26,1,14,15,0.58,14,1,2010-2011,6.0
Teemu,Karjalainen,1,HPK U16,18,5,9,14,0.78,0,1,2010-2011,8.0
Janne,Seppänen,1,HIFK U16,26,5,9,14,0.54,8,1,2010-2011,10.0
Julius,Honka,0,JYP U16,25,2,12,14,0.56,24,1,2010-2011,7.0
Taneli,Ronkainen,0,Kärpät U16,27,1,13,14,0.52,22,1,2010-2011,4.0
Joni,Tuulola,0,HPK U16,22,4,9,13,0.59,20,1,2010-2011,8.0
Anton,Levtchi,1,Tappara U16,20,3,10,13,0.65,2,1,2010-2011,1.0
Joel,Janatuinen,1,Jokerit U16,18,7,4,11,0.61,8,1,2010-2011,3.0
Reko,Tornberg,0,Kärpät U16,10,3,8,11,1.10,4,1,2010-2011,4.0
Joonas,Lyytinen,0,KalPa U16,21,3,8,11,0.52,34,1,2010-2011,11.0
Eemeli,Suomi,1,Ilves U16,23,2,9,11,0.48,4,1,2010-2011,9.0
Manu,Honkanen,1,TPS U16,21,5,5,10,0.48,2,1,2010-2011,5.0
Ville,Meskanen,1,Ilves U16,23,3,7,10,0.44,10,1,2010-2011,9.0
Erik,Autio,0,Blues U16,22,2,8,10,0.46,6,1,2010-2011,2.0
Samuli,Tanhua,0,Kärpät U16,25,2,8,10,0.40,22,1,2010-2011,4.0
Eetu,Sopanen,0,Pelicans U16,25,4,5,9,0.36,14,1,2010-2011,12.0
Aleksi,Mäkelä,0,Ilves U16,20,2,7,9,0.45,29,1,2010-2011,9.0
Roope,Hintz,1,Ilves U16,13,7,1,8,0.62,2,1,2010-2011,9.0
Markus,Haapanen,0,HPK U16,26,3,5,8,0.31,32,1,2010-2011,8.0
Jere,Friberg,1,Lukko U16,6,2,6,8,1.33,2,1,2010-2011,13.0
Jere,Rouhiainen,0,Tappara U16,25,2,6,8,0.32,12,1,2010-2011,1.0
Sebastian,Repo,1,Pelicans U16,20,1,7,8,0.40,8,1,2010-2011,12.0
Elmeri,Eronen,0,TPS U16,10,3,4,7,0.70,2,1,2010-2011,5.0
Antton,Mönkäre,1,Blues U16,13,3,4,7,0.54,4,1,2010-2011,2.0
Artturi,Lehkonen,1,TPS U16,5,2,5,7,1.40,0,1,2010-2011,5.0
Saku,Kinnunen,0,KalPa U16,6,0,7,7,1.17,2,1,2010-2011,11.0
Jonatan,Tanus,1,Tappara U16,2,4,2,6,3.00,0,1,2010-2011,1.0
Kasperi,Ojantakanen,1,Jokerit U16,10,3,3,6,0.60,4,1,2010-2011,3.0
Atte,Mäkinen,0,Tappara U16,12,3,3,6,0.50,4,1,2010-2011,1.0
Sami,Niku,0,JYP U16,25,1,5,6,0.24,10,1,2010-2011,7.0
Roni,Sevänen,0,Ässät U16,23,0,6,6,0.26,10,1,2010-2011,6.0
Janne,Koponen,0,KalPa U16,6,0,5,5,0.83,6,1,2010-2011,11.0
Sami,Anttila,1,Kärpät U16,1,2,2,4,4.00,0,1,2010-2011,4.0
Aleksander,Barkov,1,Tappara U16,2,1,3,4,2.00,0,1,2010-2011,1.0
Anton,Fonsén,0,Ässät U16,20,1,3,4,0.20,20,1,2010-2011,6.0
Alex,Lintuniemi,0,HIFK U16,4,2,1,3,0.75,29,1,2010-2011,10.0
Juuso,Ikonen,1,Blues U16,1,1,2,3,3.00,2,1,2010-2011,2.0
Aleksi,Ainali,1,HIFK U16,2,1,2,3,1.50,0,1,2010-2011,10.0
Aleksi,Mustonen,1,Jokerit U16,3,1,2,3,1.00,0,1,2010-2011,3.0
Aleksi,Saarela,1,Lukko U16,1,1,1,2,2.00,0,1,2010-2011,13.0
Santeri,Ovaska,1,Ketterä U16,7,1,1,2,0.29,0,1,2010-2011,14.0
Jesse,Väkelä,0,Kärpät U16,5,0,2,2,0.40,2,1,2010-2011,4.0
Joose,Antonen,1,Ilves U16,1,1,0,1,1.00,2,1,2010-2011,9.0
Henry,Maarnela,0,Ketterä U16,3,1,0,1,0.33,0,1,2010-2011,14.0
Jarkko,Parikka,0,Ketterä U16,4,1,0,1,0.25,2,1,2010-2011,14.0
Patrik,Virta,1,HPK U16,6,0,1,1,0.17,6,1,2010-2011,8.0
Mikke,Levo,0,Ilves U16,2,0,0,0,0.00,6,1,2010-2011,9.0
Oliwer,Kaski,0,Ässät U16,15,0,0,0,0.00,0,1,2010-2011,6.0
Alex,Olkinuora,1,Tappara U16,29,33,26,59,2.03,36,0,2011-2012,5.0
Matias,Lainio,1,Lukko U16,28,27,27,54,1.93,18,0,2011-2012,6.0
Tatu,Kanerva,1,Blues U16,27,25,20,45,1.67,22,0,2011-2012,1.0
Oskari,Degerlund,1,JYP U16,28,26,17,43,1.54,26,0,2011-2012,7.0
Eetu,Elo,1,KooKoo U16,30,23,18,41,1.37,30,0,2011-2012,10.0
Ville,Saloranta,1,Ilves U16,29,17,14,31,1.07,10,0,2011-2012,3.0
Juhani,Ikonen,1,HPK U16,29,16,15,31,1.07,10,0,2011-2012,9.0
Joakim,Kukkonen,1,Jokerit U16,28,11,19,30,1.07,38,0,2011-2012,4.0
Sakari,Dahlgren,1,HPK U16,26,18,10,28,1.08,12,0,2011-2012,9.0
Joonas,Väinölä,1,Tappara U16,29,13,14,27,0.93,44,0,2011-2012,5.0
Olli,Kalliomaa,1,Jokerit U16,22,18,8,26,1.18,20,0,2011-2012,4.0
Teemu,Vierre,1,KooKoo U16,30,16,10,26,0.87,47,0,2011-2012,10.0
Väinö,Heinonen,1,Kärpät U16,30,15,11,26,0.87,32,0,2011-2012,2.0
Niklas,Peltola,1,JYP U16,27,9,17,26,0.96,12,0,2011-2012,7.0
Petrus,Pietiläinen,0,SaiPa U16,24,12,13,25,1.04,36,0,2011-2012,8.0
